2023-07/20/-16:39:23.554   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=270, rssi=96, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628101D4750, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=23.0, temp2=20.75, temp3=23.31, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:39:23.571   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=270, rssi=96, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628101D4750, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=23.0, temp2=20.75, temp3=23.31, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:39:23.572   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=270, rssi=96, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628101D4750, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=23.0, temp2=20.75, temp3=23.31, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:39:23.572   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=270, rssi=96, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628101D4750, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=23.0, temp2=20.75, temp3=23.31, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:39:52.276   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=856, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628132E4D50, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=36.0, temp2=36.62, temp3=35.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:39:52.284   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=856, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628132E4D50, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=36.0, temp2=36.62, temp3=35.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:39:52.298   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=856, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628132E4D50, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=36.0, temp2=36.62, temp3=35.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:39:52.326   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=856, rssi=11, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A628132E4D50, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=36.0, temp2=36.62, temp3=35.06, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:40:22.166   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=874, rssi=83, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F251950, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=34.43, temp2=34.87, temp3=32.75, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:40:22.169   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=874, rssi=83, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F251950, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=34.43, temp2=34.87, temp3=32.75, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/20/-16:40:22.208   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=874, rssi=83, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F251950, voltage=3780, quantity=50, warningcode=0, sensornum=3, temp1=34.43, temp2=34.87, temp3=32.75, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
