2023-07/21/-09:28:57.251   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=543, rssi=79, frequency=582, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F321C50, voltage=3760, quantity=48, warningcode=0, sensornum=3, temp1=36.0, temp2=35.75, temp3=33.12, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:28:57.272   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=543, rssi=79, frequency=582, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F321C50, voltage=3760, quantity=48, warningcode=0, sensornum=3, temp1=36.0, temp2=35.75, temp3=33.12, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:28:57.274   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=543, rssi=79, frequency=582, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F321C50, voltage=3760, quantity=48, warningcode=0, sensornum=3, temp1=36.0, temp2=35.75, temp3=33.12, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:28:57.274   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=543, rssi=79, frequency=582, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F321C50, voltage=3760, quantity=48, warningcode=0, sensornum=3, temp1=36.0, temp2=35.75, temp3=33.12, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:29:03.290   INFO  DecodeLogger - LCX/JCReceive/869298058767708 Device(imei=869298058767708, imsi=869298058767708, flag=32, type=1, datanum=876, rssi=68, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F301A50, voltage=3768, quantity=49, warningcode=0, sensornum=3, temp1=37.0, temp2=36.81, temp3=37.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:29:03.308   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=876, rssi=68, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F301A50, voltage=3768, quantity=49, warningcode=0, sensornum=3, temp1=37.0, temp2=36.81, temp3=37.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:29:03.309   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=876, rssi=68, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F301A50, voltage=3768, quantity=49, warningcode=0, sensornum=3, temp1=37.0, temp2=36.81, temp3=37.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:29:03.309   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=876, rssi=68, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A6280F301A50, voltage=3768, quantity=49, warningcode=0, sensornum=3, temp1=37.0, temp2=36.81, temp3=37.43, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:31:25.798   INFO  DecodeLogger - LCX/JCReceive/869298058810193 Device(imei=869298058810193, imsi=869298058810193, flag=32, type=1, datanum=876, rssi=94, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62818452F50, voltage=3772, quantity=49, warningcode=0, sensornum=3, temp1=35.5, temp2=34.75, temp3=33.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:31:25.811   INFO  DecodeLogger - LCX/JCReceive/869298058785379 Device(imei=869298058785379, imsi=869298058785379, flag=32, type=1, datanum=876, rssi=94, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62818452F50, voltage=3772, quantity=49, warningcode=0, sensornum=3, temp1=35.5, temp2=34.75, temp3=33.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
2023-07/21/-09:31:25.813   INFO  DecodeLogger - LCX/JCReceive/869298058797929 Device(imei=869298058797929, imsi=869298058797929, flag=32, type=1, datanum=876, rssi=94, frequency=480, cellarsn=99999, gunsn=null, mac=AAAAAAAA0176A62818452F50, voltage=3772, quantity=49, warningcode=0, sensornum=3, temp1=35.5, temp2=34.75, temp3=33.93, temp=0.0, humidity=0.0, o2=0.0, co2=0.0, h2s=0.0, pressure=0.0, liquidLevel=0.0, version=A3, createTime=null)
